Date,WARD,TotalBedsUsed
2022-08-13,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-13,KHCC-9H-LEUKEMIA,18
2022-08-13,KHCC-ADULT DAY CASE KSB,8
2022-08-13,KHCC-EMERGENCY ROOM,7
2022-08-14,KHCC-10H-BMT,5
2022-08-14,KHCC-10H-MEDICAL/SURGICAL,15
2022-08-14,KHCC-11H-MEDICAL/SURGICAL,2
2022-08-14,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-14,KHCC-2B-AICU,10
2022-08-14,KHCC-2C-SIMU,5
2022-08-14,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-14,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-14,KHCC-3C-SURGERY,33
2022-08-14,KHCC-4A-MEDICAL/SURGICAL,19
2022-08-14,KHCC-4B-MEDICAL/SURGICAL,19
2022-08-14,KHCC-4C-HUSSAM AL-HARIRI,28
2022-08-14,KHCC-4H-ADULT ICU,4
2022-08-14,KHCC-4H-BMT,12
2022-08-14,KHCC-5C-KOLAGHASSI WING,15
2022-08-14,KHCC-5H-PEDIATRIC,14
2022-08-14,KHCC-5H-PEDIATRIC ICU,4
2022-08-14,KHCC-6H-PEDIATRIC,21
2022-08-14,KHCC-7H-BMT,16
2022-08-14,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-14,KHCC-9H-LEUKEMIA,17
2022-08-14,KHCC-ADULT DAY CASE KSB,4
2022-08-14,KHCC-EMERGENCY KSB ROOM,2
2022-08-14,KHCC-EMERGENCY ROOM,15
2022-08-14,KHCC-PED DAY CASE,6
2022-08-15,KHCC-10H-BMT,5
2022-08-15,KHCC-10H-MEDICAL/SURGICAL,14
2022-08-15,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-15,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-15,KHCC-2B-AICU,10
2022-08-15,KHCC-2C-SIMU,6
2022-08-15,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-15,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-15,KHCC-3C-SURGERY,34
2022-08-15,KHCC-4A-MEDICAL/SURGICAL,19
2022-08-15,KHCC-4B-MEDICAL/SURGICAL,19
2022-08-15,KHCC-4C-HUSSAM AL-HARIRI,27
2022-08-15,KHCC-4H-ADULT ICU,5
2022-08-15,KHCC-4H-BMT,12
2022-08-15,KHCC-5C-KOLAGHASSI WING,15
2022-08-15,KHCC-5H-PEDIATRIC,14
2022-08-15,KHCC-5H-PEDIATRIC ICU,6
2022-08-15,KHCC-6H-PEDIATRIC,22
2022-08-15,KHCC-7H-BMT,17
2022-08-15,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-15,KHCC-9H-LEUKEMIA,15
2022-08-15,KHCC-ADULT DAY CASE KSB,5
2022-08-15,KHCC-EMERGENCY ROOM,15
2022-08-15,KHCC-PED DAY CASE,17
2022-08-16,KHCC-10H-BMT,5
2022-08-16,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-16,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-16,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-16,KHCC-2B-AICU,11
2022-08-16,KHCC-2C-SIMU,6
2022-08-16,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-16,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-16,KHCC-3C-SURGERY,34
2022-08-16,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-16,KHCC-4B-MEDICAL/SURGICAL,19
2022-08-16,KHCC-4C-HUSSAM AL-HARIRI,27
2022-08-16,KHCC-4H-ADULT ICU,5
2022-08-16,KHCC-4H-BMT,13
2022-08-16,KHCC-5C-KOLAGHASSI WING,15
2022-08-16,KHCC-5H-PEDIATRIC,14
2022-08-16,KHCC-5H-PEDIATRIC ICU,6
2022-08-16,KHCC-6H-PEDIATRIC,22
2022-08-16,KHCC-7H-BMT,19
2022-08-16,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-16,KHCC-9H-LEUKEMIA,16
2022-08-16,KHCC-ADULT DAY CASE KSB,8
2022-08-16,KHCC-EMERGENCY KSB ROOM,3
2022-08-16,KHCC-EMERGENCY ROOM,10
2022-08-16,KHCC-PED DAY CASE,8
2022-08-17,KHCC-10H-BMT,5
2022-08-17,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-17,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-17,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-17,KHCC-2B-AICU,10
2022-08-17,KHCC-2C-SIMU,6
2022-08-17,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-17,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-17,KHCC-3C-SURGERY,35
2022-08-17,KHCC-4A-MEDICAL/SURGICAL,16
2022-08-17,KHCC-4B-MEDICAL/SURGICAL,19
2022-08-17,KHCC-4C-HUSSAM AL-HARIRI,26
2022-08-17,KHCC-4H-ADULT ICU,7
2022-08-17,KHCC-4H-BMT,13
2022-08-17,KHCC-5C-KOLAGHASSI WING,14
2022-08-17,KHCC-5H-PEDIATRIC,14
2022-08-17,KHCC-5H-PEDIATRIC ICU,7
2022-08-17,KHCC-6H-PEDIATRIC,23
2022-08-17,KHCC-7H-BMT,16
2022-08-17,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-17,KHCC-9H-LEUKEMIA,19
2022-08-17,KHCC-ADULT DAY CASE KSB,9
2022-08-17,KHCC-EMERGENCY KSB ROOM,2
2022-08-17,KHCC-EMERGENCY ROOM,7
2022-08-17,KHCC-PED DAY CASE,6
2022-08-18,KHCC-10H-BMT,6
2022-08-18,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-18,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-18,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-18,KHCC-2B-AICU,11
2022-08-18,KHCC-2C-SIMU,6
2022-08-18,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-18,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-18,KHCC-3C-SURGERY,32
2022-08-18,KHCC-4A-MEDICAL/SURGICAL,17
2022-08-18,KHCC-4B-MEDICAL/SURGICAL,19
2022-08-18,KHCC-4C-HUSSAM AL-HARIRI,26
2022-08-18,KHCC-4H-ADULT ICU,5
2022-08-18,KHCC-4H-BMT,14
2022-08-18,KHCC-5C-KOLAGHASSI WING,13
2022-08-18,KHCC-5H-PEDIATRIC,14
2022-08-18,KHCC-5H-PEDIATRIC ICU,7
2022-08-18,KHCC-6H-PEDIATRIC,23
2022-08-18,KHCC-7H-BMT,17
2022-08-18,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-18,KHCC-9H-LEUKEMIA,22
2022-08-18,KHCC-ADULT DAY CASE KSB,10
2022-08-18,KHCC-BMT DAY CASE,2
2022-08-18,KHCC-EMERGENCY KSB ROOM,4
2022-08-18,KHCC-EMERGENCY ROOM,6
2022-08-18,KHCC-PED DAY CASE,11
2022-08-19,KHCC-10H-BMT,5
2022-08-19,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-19,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-19,KHCC-2A-MEDICAL/SURGICAL,3
2022-08-19,KHCC-2B-AICU,10
2022-08-19,KHCC-2C-SIMU,3
2022-08-19,KHCC-3A-MEDICAL/SURGICAL,16
2022-08-19,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-19,KHCC-3C-SURGERY,24
2022-08-19,KHCC-4A-MEDICAL/SURGICAL,16
2022-08-19,KHCC-4B-MEDICAL/SURGICAL,19
2022-08-19,KHCC-4C-HUSSAM AL-HARIRI,26
2022-08-19,KHCC-4H-ADULT ICU,3
2022-08-19,KHCC-4H-BMT,14
2022-08-19,KHCC-5C-KOLAGHASSI WING,13
2022-08-19,KHCC-5H-PEDIATRIC,14
2022-08-19,KHCC-5H-PEDIATRIC ICU,7
2022-08-19,KHCC-6H-PEDIATRIC,23
2022-08-19,KHCC-7H-BMT,17
2022-08-19,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-19,KHCC-9H-LEUKEMIA,21
2022-08-19,KHCC-ADULT DAY CASE KSB,1
2022-08-19,KHCC-EMERGENCY ROOM,7
2022-08-20,KHCC-10H-BMT,5
2022-08-20,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-20,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-20,KHCC-2B-AICU,9
2022-08-20,KHCC-2C-SIMU,1
2022-08-20,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-20,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-20,KHCC-3C-SURGERY,32
2022-08-20,KHCC-4A-MEDICAL/SURGICAL,16
2022-08-20,KHCC-4B-MEDICAL/SURGICAL,18
2022-08-20,KHCC-4C-HUSSAM AL-HARIRI,30
2022-08-20,KHCC-4H-ADULT ICU,3
2022-08-20,KHCC-4H-BMT,14
2022-08-20,KHCC-5C-KOLAGHASSI WING,14
2022-08-20,KHCC-5H-PEDIATRIC,13
2022-08-20,KHCC-5H-PEDIATRIC ICU,6
2022-08-20,KHCC-6H-PEDIATRIC,23
2022-08-20,KHCC-7H-BMT,17
2022-08-20,KHCC-8H-SHAKOUR ABU GHAZAL,21
2022-08-20,KHCC-9H-LEUKEMIA,23
2022-08-20,KHCC-ADULT DAY CASE KSB,11
2022-08-20,KHCC-EMERGENCY ROOM,11
2022-08-21,KHCC-10H-BMT,6
2022-08-21,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-21,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-21,KHCC-2A-MEDICAL/SURGICAL,7
2022-08-21,KHCC-2B-AICU,9
2022-08-21,KHCC-2C-SIMU,6
2022-08-21,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-21,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-21,KHCC-3C-SURGERY,33
2022-08-21,KHCC-4A-MEDICAL/SURGICAL,16
2022-08-21,KHCC-4B-MEDICAL/SURGICAL,18
2022-08-21,KHCC-4C-HUSSAM AL-HARIRI,32
2022-08-21,KHCC-4H-ADULT ICU,6
2022-08-21,KHCC-4H-BMT,14
2022-08-21,KHCC-5C-KOLAGHASSI WING,15
2022-08-21,KHCC-5H-PEDIATRIC,13
2022-08-21,KHCC-5H-PEDIATRIC ICU,6
2022-08-21,KHCC-6H-PEDIATRIC,24
2022-08-21,KHCC-7H-BMT,15
2022-08-21,KHCC-8H-SHAKOUR ABU GHAZAL,21
2022-08-21,KHCC-9H-LEUKEMIA,23
2022-08-21,KHCC-ADULT DAY CASE KSB,5
2022-08-21,KHCC-EMERGENCY KSB ROOM,4
2022-08-21,KHCC-EMERGENCY ROOM,13
2022-08-21,KHCC-PED DAY CASE,2
2022-08-22,KHCC-10H-BMT,6
2022-08-22,KHCC-10H-MEDICAL/SURGICAL,15
2022-08-22,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-22,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-22,KHCC-2B-AICU,8
2022-08-22,KHCC-2C-SIMU,6
2022-08-22,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-22,KHCC-3B-MEDICAL/SURGICAL,16
2022-08-22,KHCC-3C-SURGERY,33
2022-08-22,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-22,KHCC-4B-MEDICAL/SURGICAL,18
2022-08-22,KHCC-4C-HUSSAM AL-HARIRI,30
2022-08-22,KHCC-4H-ADULT ICU,5
2022-08-22,KHCC-4H-BMT,14
2022-08-22,KHCC-5C-KOLAGHASSI WING,14
2022-08-22,KHCC-5H-PEDIATRIC,13
2022-08-22,KHCC-5H-PEDIATRIC ICU,7
2022-08-22,KHCC-6H-PEDIATRIC,23
2022-08-22,KHCC-7H-BMT,18
2022-08-22,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-22,KHCC-9H-LEUKEMIA,23
2022-08-22,KHCC-ADULT DAY CASE KSB,6
2022-08-22,KHCC-ADULT DAY CASE NZR,1
2022-08-22,KHCC-EMERGENCY KSB ROOM,1
2022-08-22,KHCC-EMERGENCY ROOM,13
2022-08-22,KHCC-PED DAY CASE,13
2022-08-23,KHCC-10H-BMT,6
2022-08-23,KHCC-10H-MEDICAL/SURGICAL,15
2022-08-23,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-23,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-23,KHCC-2B-AICU,10
2022-08-23,KHCC-2C-SIMU,6
2022-08-23,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-23,KHCC-3B-MEDICAL/SURGICAL,16
2022-08-23,KHCC-3C-SURGERY,33
2022-08-23,KHCC-4A-MEDICAL/SURGICAL,19
2022-08-23,KHCC-4B-MEDICAL/SURGICAL,18
2022-08-23,KHCC-4C-HUSSAM AL-HARIRI,31
2022-08-23,KHCC-4H-ADULT ICU,7
2022-08-23,KHCC-4H-BMT,13
2022-08-23,KHCC-5C-KOLAGHASSI WING,14
2022-08-23,KHCC-5H-PEDIATRIC,13
2022-08-23,KHCC-5H-PEDIATRIC ICU,8
2022-08-23,KHCC-6H-PEDIATRIC,23
2022-08-23,KHCC-7H-BMT,17
2022-08-23,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-08-23,KHCC-9H-LEUKEMIA,21
2022-08-23,KHCC-ADULT DAY CASE KSB,9
2022-08-23,KHCC-ADULT DAY CASE NZR,2
2022-08-23,KHCC-EMERGENCY KSB ROOM,1
2022-08-23,KHCC-EMERGENCY ROOM,8
2022-08-23,KHCC-PED DAY CASE,8
2022-08-24,KHCC-10H-BMT,8
2022-08-24,KHCC-10H-MEDICAL/SURGICAL,15
2022-08-24,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-24,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-24,KHCC-2B-AICU,10
2022-08-24,KHCC-2C-SIMU,6
2022-08-24,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-24,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-24,KHCC-3C-SURGERY,33
2022-08-24,KHCC-4A-MEDICAL/SURGICAL,19
2022-08-24,KHCC-4B-MEDICAL/SURGICAL,18
2022-08-24,KHCC-4C-HUSSAM AL-HARIRI,31
2022-08-24,KHCC-4H-ADULT ICU,5
2022-08-24,KHCC-4H-BMT,14
2022-08-24,KHCC-5C-KOLAGHASSI WING,14
2022-08-24,KHCC-5H-PEDIATRIC,13
2022-08-24,KHCC-5H-PEDIATRIC ICU,8
2022-08-24,KHCC-6H-PEDIATRIC,23
2022-08-24,KHCC-7H-BMT,21
2022-08-24,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-08-24,KHCC-9H-LEUKEMIA,17
2022-08-24,KHCC-ADULT DAY CASE KSB,11
2022-08-24,KHCC-EMERGENCY KSB ROOM,2
2022-08-24,KHCC-EMERGENCY ROOM,11
2022-08-24,KHCC-PED DAY CASE,9
2022-08-25,KHCC-10H-BMT,7
2022-08-25,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-25,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-25,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-25,KHCC-2B-AICU,10
2022-08-25,KHCC-2C-SIMU,6
2022-08-25,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-25,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-25,KHCC-3C-SURGERY,31
2022-08-25,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-25,KHCC-4B-MEDICAL/SURGICAL,17
2022-08-25,KHCC-4C-HUSSAM AL-HARIRI,30
2022-08-25,KHCC-4H-ADULT ICU,5
2022-08-25,KHCC-4H-BMT,14
2022-08-25,KHCC-5C-KOLAGHASSI WING,14
2022-08-25,KHCC-5H-PEDIATRIC,13
2022-08-25,KHCC-5H-PEDIATRIC ICU,8
2022-08-25,KHCC-6H-PEDIATRIC,23
2022-08-25,KHCC-7H-BMT,22
2022-08-25,KHCC-8H-SHAKOUR ABU GHAZAL,21
2022-08-25,KHCC-9H-LEUKEMIA,20
2022-08-25,KHCC-ADULT DAY CASE KSB,12
2022-08-25,KHCC-ADULT DAY CASE NZR,1
2022-08-25,KHCC-EMERGENCY ROOM,11
2022-08-25,KHCC-PED DAY CASE,4
2022-08-26,KHCC-10H-BMT,7
2022-08-26,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-26,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-26,KHCC-2B-AICU,5
2022-08-26,KHCC-2C-SIMU,5
2022-08-26,KHCC-3A-MEDICAL/SURGICAL,16
2022-08-26,KHCC-3B-MEDICAL/SURGICAL,15
2022-08-26,KHCC-3C-SURGERY,25
2022-08-26,KHCC-4A-MEDICAL/SURGICAL,16
2022-08-26,KHCC-4B-MEDICAL/SURGICAL,16
2022-08-26,KHCC-4C-HUSSAM AL-HARIRI,26
2022-08-26,KHCC-4H-ADULT ICU,6
2022-08-26,KHCC-4H-BMT,13
2022-08-26,KHCC-5C-KOLAGHASSI WING,12
2022-08-26,KHCC-5H-PEDIATRIC,12
2022-08-26,KHCC-5H-PEDIATRIC ICU,7
2022-08-26,KHCC-6H-PEDIATRIC,22
2022-08-26,KHCC-7H-BMT,20
2022-08-26,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-26,KHCC-9H-LEUKEMIA,17
2022-08-26,KHCC-ADULT DAY CASE KSB,1
2022-08-26,KHCC-EMERGENCY ROOM,2
2022-08-27,KHCC-10H-BMT,7
2022-08-27,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-27,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-27,KHCC-2B-AICU,5
2022-08-27,KHCC-2C-SIMU,1
2022-08-27,KHCC-3A-MEDICAL/SURGICAL,16
2022-08-27,KHCC-3B-MEDICAL/SURGICAL,13
2022-08-27,KHCC-3C-SURGERY,27
2022-08-27,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-27,KHCC-4B-MEDICAL/SURGICAL,14
2022-08-27,KHCC-4C-HUSSAM AL-HARIRI,24
2022-08-27,KHCC-4H-ADULT ICU,4
2022-08-27,KHCC-4H-BMT,13
2022-08-27,KHCC-5C-KOLAGHASSI WING,12
2022-08-27,KHCC-5H-PEDIATRIC,12
2022-08-27,KHCC-5H-PEDIATRIC ICU,6
2022-08-27,KHCC-6H-PEDIATRIC,23
2022-08-27,KHCC-7H-BMT,17
2022-08-27,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-27,KHCC-9H-LEUKEMIA,18
2022-08-27,KHCC-ADULT DAY CASE KSB,10
2022-08-27,KHCC-EMERGENCY ROOM,3
2022-08-28,KHCC-10H-BMT,7
2022-08-28,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-28,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-28,KHCC-2B-AICU,4
2022-08-28,KHCC-2C-SIMU,5
2022-08-28,KHCC-3A-MEDICAL/SURGICAL,16
2022-08-28,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-28,KHCC-3C-SURGERY,34
2022-08-28,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-28,KHCC-4B-MEDICAL/SURGICAL,17
2022-08-28,KHCC-4C-HUSSAM AL-HARIRI,28
2022-08-28,KHCC-4H-ADULT ICU,3
2022-08-28,KHCC-4H-BMT,13
2022-08-28,KHCC-5C-KOLAGHASSI WING,13
2022-08-28,KHCC-5H-PEDIATRIC,11
2022-08-28,KHCC-5H-PEDIATRIC ICU,6
2022-08-28,KHCC-6H-PEDIATRIC,23
2022-08-28,KHCC-7H-BMT,17
2022-08-28,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-08-28,KHCC-9H-LEUKEMIA,19
2022-08-28,KHCC-ADULT DAY CASE KSB,6
2022-08-28,KHCC-EMERGENCY KSB ROOM,1
2022-08-28,KHCC-EMERGENCY ROOM,5
2022-08-28,KHCC-PED DAY CASE,12
2022-08-29,KHCC-10H-BMT,8
2022-08-29,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-29,KHCC-2A-MEDICAL/SURGICAL,8
2022-08-29,KHCC-2B-AICU,7
2022-08-29,KHCC-2C-SIMU,6
2022-08-29,KHCC-3A-MEDICAL/SURGICAL,16
2022-08-29,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-29,KHCC-3C-SURGERY,34
2022-08-29,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-29,KHCC-4B-MEDICAL/SURGICAL,18
2022-08-29,KHCC-4C-HUSSAM AL-HARIRI,28
2022-08-29,KHCC-4H-ADULT ICU,3
2022-08-29,KHCC-4H-BMT,12
2022-08-29,KHCC-5C-KOLAGHASSI WING,13
2022-08-29,KHCC-5H-PEDIATRIC,11
2022-08-29,KHCC-5H-PEDIATRIC ICU,7
2022-08-29,KHCC-6H-PEDIATRIC,23
2022-08-29,KHCC-7H-BMT,16
2022-08-29,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-08-29,KHCC-9H-LEUKEMIA,18
2022-08-29,KHCC-ADULT DAY CASE KSB,14
2022-08-29,KHCC-EMERGENCY KSB ROOM,3
2022-08-29,KHCC-EMERGENCY ROOM,6
2022-08-29,KHCC-PED DAY CASE,13
2022-08-30,KHCC-10H-BMT,5
2022-08-30,KHCC-10H-MEDICAL/SURGICAL,16
2022-08-30,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-30,KHCC-2A-MEDICAL/SURGICAL,7
2022-08-30,KHCC-2B-AICU,6
2022-08-30,KHCC-2C-SIMU,6
2022-08-30,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-30,KHCC-3B-MEDICAL/SURGICAL,17
2022-08-30,KHCC-3C-SURGERY,33
2022-08-30,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-30,KHCC-4B-MEDICAL/SURGICAL,16
2022-08-30,KHCC-4C-HUSSAM AL-HARIRI,29
2022-08-30,KHCC-4H-ADULT ICU,5
2022-08-30,KHCC-4H-BMT,13
2022-08-30,KHCC-5C-KOLAGHASSI WING,13
2022-08-30,KHCC-5H-PEDIATRIC,12
2022-08-30,KHCC-5H-PEDIATRIC ICU,7
2022-08-30,KHCC-6H-PEDIATRIC,23
2022-08-30,KHCC-7H-BMT,17
2022-08-30,KHCC-8H-SHAKOUR ABU GHAZAL,21
2022-08-30,KHCC-9H-LEUKEMIA,18
2022-08-30,KHCC-ADULT DAY CASE KSB,7
2022-08-30,KHCC-EMERGENCY KSB ROOM,1
2022-08-30,KHCC-EMERGENCY ROOM,4
2022-08-30,KHCC-PED DAY CASE,9
2022-08-31,KHCC-10H-BMT,4
2022-08-31,KHCC-10H-MEDICAL/SURGICAL,15
2022-08-31,KHCC-11H-MEDICAL/SURGICAL,1
2022-08-31,KHCC-2A-MEDICAL/SURGICAL,7
2022-08-31,KHCC-2B-AICU,7
2022-08-31,KHCC-2C-SIMU,6
2022-08-31,KHCC-3A-MEDICAL/SURGICAL,17
2022-08-31,KHCC-3B-MEDICAL/SURGICAL,19
2022-08-31,KHCC-3C-SURGERY,33
2022-08-31,KHCC-4A-MEDICAL/SURGICAL,18
2022-08-31,KHCC-4B-MEDICAL/SURGICAL,17
2022-08-31,KHCC-4C-HUSSAM AL-HARIRI,29
2022-08-31,KHCC-4H-ADULT ICU,5
2022-08-31,KHCC-4H-BMT,13
2022-08-31,KHCC-5C-KOLAGHASSI WING,13
2022-08-31,KHCC-5H-PEDIATRIC,12
2022-08-31,KHCC-5H-PEDIATRIC ICU,6
2022-08-31,KHCC-6H-PEDIATRIC,24
2022-08-31,KHCC-7H-BMT,17
2022-08-31,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-08-31,KHCC-9H-LEUKEMIA,19
2022-08-31,KHCC-ADULT DAY CASE KSB,11
2022-08-31,KHCC-BMT DAY CASE,1
2022-08-31,KHCC-EMERGENCY KSB ROOM,3
2022-08-31,KHCC-EMERGENCY ROOM,8
2022-08-31,KHCC-PED DAY CASE,9
2022-09-01,KHCC-10H-BMT,2
2022-09-01,KHCC-10H-MEDICAL/SURGICAL,16
2022-09-01,KHCC-11H-MEDICAL/SURGICAL,1
2022-09-01,KHCC-2A-MEDICAL/SURGICAL,5
2022-09-01,KHCC-2B-AICU,8
2022-09-01,KHCC-2C-SIMU,6
2022-09-01,KHCC-3A-MEDICAL/SURGICAL,17
2022-09-01,KHCC-3B-MEDICAL/SURGICAL,18
2022-09-01,KHCC-3C-SURGERY,33
2022-09-01,KHCC-4A-MEDICAL/SURGICAL,18
2022-09-01,KHCC-4B-MEDICAL/SURGICAL,18
2022-09-01,KHCC-4C-HUSSAM AL-HARIRI,28
2022-09-01,KHCC-4H-ADULT ICU,5
2022-09-01,KHCC-4H-BMT,15
2022-09-01,KHCC-5C-KOLAGHASSI WING,13
2022-09-01,KHCC-5H-PEDIATRIC,12
2022-09-01,KHCC-5H-PEDIATRIC ICU,7
2022-09-01,KHCC-6H-PEDIATRIC,24
2022-09-01,KHCC-7H-BMT,19
2022-09-01,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-09-01,KHCC-9H-LEUKEMIA,20
2022-09-01,KHCC-ADULT DAY CASE KSB,12
2022-09-01,KHCC-ADULT DAY CASE NZR,1
2022-09-01,KHCC-EMERGENCY KSB ROOM,3
2022-09-01,KHCC-EMERGENCY ROOM,8
2022-09-01,KHCC-PED DAY CASE,7
2022-09-02,KHCC-10H-BMT,2
2022-09-02,KHCC-10H-MEDICAL/SURGICAL,15
2022-09-02,KHCC-11H-MEDICAL/SURGICAL,1
2022-09-02,KHCC-2A-MEDICAL/SURGICAL,6
2022-09-02,KHCC-2B-AICU,7
2022-09-02,KHCC-2C-SIMU,5
2022-09-02,KHCC-3A-MEDICAL/SURGICAL,17
2022-09-02,KHCC-3B-MEDICAL/SURGICAL,18
2022-09-02,KHCC-3C-SURGERY,30
2022-09-02,KHCC-4A-MEDICAL/SURGICAL,17
2022-09-02,KHCC-4B-MEDICAL/SURGICAL,18
2022-09-02,KHCC-4C-HUSSAM AL-HARIRI,25
2022-09-02,KHCC-4H-ADULT ICU,4
2022-09-02,KHCC-4H-BMT,13
2022-09-02,KHCC-5C-KOLAGHASSI WING,13
2022-09-02,KHCC-5H-PEDIATRIC,12
2022-09-02,KHCC-5H-PEDIATRIC ICU,5
2022-09-02,KHCC-6H-PEDIATRIC,23
2022-09-02,KHCC-7H-BMT,19
2022-09-02,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-09-02,KHCC-9H-LEUKEMIA,18
2022-09-02,KHCC-ADULT DAY CASE KSB,1
2022-09-02,KHCC-EMERGENCY ROOM,7
2022-09-03,KHCC-10H-BMT,2
2022-09-03,KHCC-10H-MEDICAL/SURGICAL,16
2022-09-03,KHCC-11H-MEDICAL/SURGICAL,1
2022-09-03,KHCC-2A-MEDICAL/SURGICAL,7
2022-09-03,KHCC-2B-AICU,9
2022-09-03,KHCC-2C-SIMU,4
2022-09-03,KHCC-3A-MEDICAL/SURGICAL,16
2022-09-03,KHCC-3B-MEDICAL/SURGICAL,18
2022-09-03,KHCC-3C-SURGERY,34
2022-09-03,KHCC-4A-MEDICAL/SURGICAL,16
2022-09-03,KHCC-4B-MEDICAL/SURGICAL,19
2022-09-03,KHCC-4C-HUSSAM AL-HARIRI,26
2022-09-03,KHCC-4H-BMT,14
2022-09-03,KHCC-5C-KOLAGHASSI WING,14
2022-09-03,KHCC-5H-PEDIATRIC,12
2022-09-03,KHCC-5H-PEDIATRIC ICU,5
2022-09-03,KHCC-6H-PEDIATRIC,23
2022-09-03,KHCC-7H-BMT,19
2022-09-03,KHCC-8H-SHAKOUR ABU GHAZAL,22
2022-09-03,KHCC-9H-LEUKEMIA,18
2022-09-03,KHCC-ADULT DAY CASE KSB,12
2022-09-03,KHCC-EMERGENCY ROOM,7
